😀  grinning face
💥  collision symbol
💦  splashing sweat symbol
💧  droplet
💨  dash symbol
💩  pile of poo
💪  flexed biceps
💫  dizzy symbol
💬  speech balloon
💭  thought balloon
💮  white flower
💯  hundred points symbol
💰  money bag
💱  currency exchange
💲  heavy dollar sign
💳  credit card
💴  banknote with yen sign
💵  banknote with dollar sign
💶  banknote with euro sign
💷  banknote with pound sign
💸  money with wings
💹  chart with upwards trend and yen sign
💺  seat
💻  personal computer
💼  briefcase
💽  minidisc
💾  floppy disk
💿  optical disc
📀  dvd
📁  file folder
📂  open file folder
📃  page with curl
📄  page facing up
📅  calendar
📆  tear-off calendar
📇  card index
📈  chart with upwards trend
📉  chart with downwards trend
📊  bar chart
📋  clipboard
📌  pushpin
📍  round pushpin
📎  paperclip
📏  straight ruler
📐  triangular ruler
📑  bookmark tabs
📒  ledger
📓  notebook
📔  notebook with decorative cover
📕  closed book
📖  open book
📗  green book
📘  blue book
📙  orange book
📚  books
📛  name badge
📜  scroll
📝  memo
📞  telephone receiver
📟  pager
📠  fax machine
📡  satellite antenna
📢  public address loudspeaker
📣  cheering megaphone
📤  outbox tray
📥  inbox tray
📦  package
📧  e-mail symbol
📨  incoming envelope
📩  envelope with downwards arrow above
📪  closed mailbox with lowered flag
📫  closed mailbox with raised flag
📬  open mailbox with raised flag
📭  open mailbox with lowered flag
📮  postbox
📯  postal horn
📰  newspaper
📱  mobile phone
📲  mobile phone with rightwards arrow at left
📳  vibration mode
📴  mobile phone off
📵  no mobile phones
📶  antenna with bars
📷  camera
📸  camera with flash
📹  video camera
📺  television
📻  radio
📼  videocassette
📽  film projector
📾  portable stereo
📿  prayer beads
🔀  twisted rightwards arrows
🔁  clockwise rightwards and leftwards open circle arrows
🔂  clockwise rightwards and leftwards open circle arrows with circled one overlay
🔃  clockwise downwards and upwards open circle arrows
🔄  anticlockwise downwards and upwards open circle arrows
🔅  low brightness symbol
🔆  high brightness symbol
🔇  speaker with cancellation stroke
🔈  speaker
🔉  speaker with one sound wave
🔊  speaker with three sound waves
🔋  battery
🔌  electric plug
🔍  left-pointing magnifying glass
🔎  right-pointing magnifying glass
🔏  lock with ink pen
🔐  closed lock with key
🔑  key
🔒  lock
🔓  open lock
🔔  bell
🔕  bell with cancellation stroke
🔖  bookmark
🔗  link symbol
🔘  radio button
🔙  back with leftwards arrow above
🔚  end with leftwards arrow above
🔛  on with exclamation mark with left right arrow above
🔜  soon with rightwards arrow above
🔝  top with upwards arrow above
🔞  no one under eighteen symbol
🔟  keycap ten
🔠  input symbol for latin capital letters
🔡  input symbol for latin small letters
🔢  input symbol for numbers
🔣  input symbol for symbols
🔤  input symbol for latin letters
🔥  fire
🔦  electric torch
🔧  wrench
🔨  hammer
🔩  nut and bolt
🔪  hocho
🔫  pistol
🔬  microscope
🔭  telescope
🔮  crystal ball
🔯  six pointed star with middle dot
🔰  japanese symbol for beginner
🔱  trident emblem
🔲  black square button
🔳  white square button
🔴  large red circle
🔵  large blue circle
🔶  large orange diamond
🔷  large blue diamond
🔸  small orange diamond
🔹  small blue diamond
🔺  up-pointing red triangle
🔻  down-pointing red triangle
🔼  up-pointing small red triangle
🔽  down-pointing small red triangle
🔾  lower right shadowed white circle
🔿  upper right shadowed white circle
🕀  circled cross pommee
🕁  cross pommee with half-circle below
🕂  cross pommee
🕃  notched left semicircle with three dots
🕄  notched right semicircle with three dots
🕅  symbol for marks chapter
🕆  white latin cross
🕇  heavy latin cross
🕈  celtic cross
🕉  om symbol
🕊  dove of peace
🕋  kaaba
🕌  mosque
🕍  synagogue
🕎  menorah with nine branches
🕏  bowl of hygieia
🕐  clock face one oclock
🕑  clock face two oclock
🕒  clock face three oclock
🕓  clock face four oclock
🕔  clock face five oclock
🕕  clock face six oclock
🕖  clock face seven oclock
🕗  clock face eight oclock
🕘  clock face nine oclock
🕙  clock face ten oclock
🕚  clock face eleven oclock
🕛  clock face twelve oclock
🕜  clock face one-thirty
🕝  clock face two-thirty
🕞  clock face three-thirty
🕟  clock face four-thirty
🕠  clock face five-thirty
🕡  clock face six-thirty
🕢  clock face seven-thirty
🕣  clock face eight-thirty
🕤  clock face nine-thirty
🕥  clock face ten-thirty
🕦  clock face eleven-thirty
🕧  clock face twelve-thirty
🕨  right speaker
🕩  right speaker with one sound wave
🕪  right speaker with three sound waves
🕫  bullhorn
🕬  bullhorn with sound waves
🕭  ringing bell
🕮  book
🕯  candle
🕰  mantelpiece clock
🕱  black skull and crossbones
🕲  no piracy
🕳  hole
🕴  man in business suit levitating
🕵  sleuth or spy
🕶  dark sunglasses
🕷  spider
🕸  spider web
🕹  joystick
🕺  man dancing
🕻  left hand telephone receiver
🕼  telephone receiver with page
🕽  right hand telephone receiver
🕾  white touchtone telephone
🕿  black touchtone telephone
🖀  telephone on top of modem
🖁  clamshell mobile phone
🖂  back of envelope
🖃  stamped envelope
🖄  envelope with lightning
🖅  flying envelope
🖆  pen over stamped envelope
🖇  linked paperclips
🖈  black pushpin
🖉  lower left pencil
🖊  lower left ballpoint pen
🖋  lower left fountain pen
🖌  lower left paintbrush
🖍  lower left crayon
🖎  left writing hand
🖏  turned ok hand sign
🖐  raised hand with fingers splayed
🖑  reversed raised hand with fingers splayed
🖒  reversed thumbs up sign
🖓  reversed thumbs down sign
🖔  reversed victory hand
🖕  reversed hand with middle finger extended
🖖  raised hand with part between middle and ring fingers
🖗  white down pointing left hand index
🖘  sideways white left pointing index
🖙  sideways white right pointing index
🖚  sideways black left pointing index
🖛  sideways black right pointing index
🖜  black left pointing backhand index
🖝  black right pointing backhand index
🖞  sideways white up pointing index
🖟  sideways white down pointing index
🖠  sideways black up pointing index
🖡  sideways black down pointing index
🖢  black up pointing backhand index
🖣  black down pointing backhand index
🖤  black heart
🖥  desktop computer
🖦  keyboard and mouse
🖧  three networked computers
🖨  printer
🖩  pocket calculator
🖪  black hard shell floppy disk
🖫  white hard shell floppy disk
🖬  soft shell floppy disk
🖭  tape cartridge
🖮  wired keyboard
🖯  one button mouse
🖰  two button mouse
🖱  three button mouse
🖲  trackball
🖳  old personal computer
🖴  hard disk
🖵  screen
🖶  printer icon
🖷  fax icon
🖸  optical disc icon
🖹  document with text
🖺  document with text and picture
🖻  document with picture
🖼  frame with picture
🖽  frame with tiles
🖾  frame with an x
🖿  black folder
🗀  folder
🗁  open folder
🗂  card index dividers
🗃  card file box
🗄  file cabinet
🗅  empty note
🗆  empty note page
🗇  empty note pad
🗈  note
🗉  note page
🗊  note pad
🗋  empty document
🗌  empty page
🗍  empty pages
🗎  document
🗏  page
🗐  pages
🗑  wastebasket
🗒  spiral note pad
🗓  spiral calendar pad
🗔  desktop window
🗕  minimize
🗖  maximize
🗗  overlap
🗘  clockwise right and left semicircle arrows
🗙  cancellation x
🗚  increase font size symbol
🗛  decrease font size symbol
🗜  compression
🗝  old key
🗞  rolled-up newspaper
🗟  page with circled text
🗠  stock chart
🗡  dagger knife
🗢  lips
🗣  speaking head in silhouette
🗤  three rays above
🗥  three rays below
🗦  three rays left
🗧  three rays right
🗨  left speech bubble
🗩  right speech bubble
🗪  two speech bubbles
🗫  three speech bubbles
🗬  left thought bubble
🗭  right thought bubble
🗮  left anger bubble
🗯  right anger bubble
🗰  mood bubble
🗱  lightning mood bubble
🗲  lightning mood
🗳  ballot box with ballot
🗴  ballot script x
🗵  ballot box with script x
🗶  ballot bold script x
🗷  ballot box with bold script x
🗸  light check mark
🗹  ballot box with bold check
🗺  world map
🗻  mount fuji
🗼  tokyo tower
🗽  statue of liberty
🗾  silhouette of japan
🗿  moyai
🚀  rocket
🚁  helicopter
🚂  steam locomotive
🚃  railway car
🚄  high-speed train
🚅  high-speed train with bullet nose
🚆  train
🚇  metro
🚈  light rail
🚉  station
🚊  tram
🚋  tram car
🚌  bus
🚍  oncoming bus
🚎  trolleybus
🚏  bus stop
🚐  minibus
🚑  ambulance
🚒  fire engine
🚓  police car
🚔  oncoming police car
🚕  taxi
🚖  oncoming taxi
🚗  automobile
🚘  oncoming automobile
🚙  recreational vehicle
🚚  delivery truck
🚛  articulated lorry
🚜  tractor
🚝  monorail
🚞  mountain railway
🚟  suspension railway
🚠  mountain cableway
🚡  aerial tramway
🚢  ship
🚣  rowboat
🚤  speedboat
🚥  horizontal traffic light
🚦  vertical traffic light
🚧  construction sign
🚨  police cars revolving light
🚩  triangular flag on post
🚪  door
🚫  no entry sign
🚬  smoking symbol
🚭  no smoking symbol
🚮  put litter in its place symbol
🚯  do not litter symbol
🚰  potable water symbol
🚱  non-potable water symbol
🚲  bicycle
🚳  no bicycles
🚴  bicyclist
🚵  mountain bicyclist
🚶  pedestrian
🚷  no pedestrians
🚸  children crossing
🚹  mens symbol
🚺  womens symbol
🚻  restroom
🚼  baby symbol
🚽  toilet
🚾  water closet
🚿  shower
🛀  bath
🛁  bathtub
🛂  passport control
🛃  customs
🛄  baggage claim
🛅  left luggage
🛆  triangle with rounded corners
🛇  prohibited sign
🛈  circled information source
🛉  boys symbol
🛊  girls symbol
🛋  couch and lamp
🛌  sleeping accommodation
🛍  shopping bags
🛎  bellhop bell
🛏  bed
🛐  place of worship
🛑  octagonal sign
🛒  shopping trolley
🛓  stupa
🛔  pagoda
🛕  hindu temple
🛖  hut
🛗  elevator
🛜  wireless
🛝  playground slide
🛞  wheel
🛟  ring buoy
🛠  hammer and wrench
🛡  shield
🛢  oil drum
🛣  motorway
🛤  railway track
🛥  motor boat
🛦  up-pointing military airplane
🛧  up-pointing airplane
🛨  up-pointing small airplane
🛩  small airplane
🛪  northeast-pointing airplane
🛫  airplane departure
🛬  airplane arriving
🛰  satellite
🛱  oncoming fire engine
🛲  diesel locomotive
🛳  passenger ship
🛴  scooter
🛵  motor scooter
🛶  canoe
🛷  sled
🛸  flying saucer
🛹  skateboard
🛺  auto rickshaw
🛻  pickup truck
🛼  roller skate
☀  black sun with rays
☁  cloud
☂  umbrella
☃  snowman
☄  comet
★  black star
☆  white star
☇  lightning
☈  thunderstorm
☉  sun
☊  ascending node
☋  descending node
☌  conjunction
☍  opposition
☎  black telephone
☏  white telephone
☐  ballot box
☑  ballot box with check
☒  ballot box with x
☓  saltire
☔  umbrella with rain drops
☕  hot beverage
☖  white shogi piece
☗  black shogi piece
☘  shamrock
☙  reversed rotated floral heart bullet
☚  black left pointing index
☛  black right pointing index
☜  white left pointing index
☝  white up pointing index
☞  white right pointing index
☟  white down pointing index
☠  skull and crossbones
☡  caution sign
☢  radioactive sign
☣  biohazard sign
☤  caduceus
☥  ankh
☦  orthodox cross
☧  chi rho
☨  cross of lorraine
☩  cross of jerusalem
☪  star and crescent
☫  farsi symbol
☬  adi shakti
☭  hammer and sickle
☮  peace symbol
☯  yin yang
☰  trigram for heaven
☱  trigram for lake
☲  trigram for fire
☳  trigram for thunder
☴  trigram for wind
☵  trigram for water
☶  trigram for mountain
☷  trigram for earth
☸  wheel of dharma
☹  white frowning face
☺  white smiling face
☻  black smiling face
☼  white sun with rays
☽  first quarter moon
☾  last quarter moon
☿  mercury
